tier,title,name,game,url,start_date,end_date,is_multi_day,prize,region,location,n_participants,first_place,second_place,first_place_abbrv,second_place_abbrv,first_place_has_page,second_place_has_page,scrape_time
A,2016,HCS Pro League NA 2016 Summer: Finals,Halo 5: Guardians,https://liquipedia.net/halo/Halo_Championship_Series/Pro_League/2016/North_America/Summer/Finals,2016-07-30,2016-07-31,TRUE,150000,United States,"Los Angeles, United States",4,Counter Logic Gaming,Enigma6 Group,CLG,E6,FALSE,FALSE,2021-12-30T14:52:33Z
A,2016,HCS Pro League EU 2016 Summer Finals,Halo 5: Guardians,https://liquipedia.net/halo/Halo_Championship_Series/Pro_League/2016/Europe/Summer/Finals,2016-07-24,2016-07-24,FALSE,67000,United Kingdom,"Leicester, United Kingdom",4,FAB Games eSports,XMEN,FAB,XMEN,FALSE,TRUE,2021-12-30T14:52:33Z
A,2016,HCS Pro League NA 2016 Summer: Regular Season,Halo 5: Guardians,https://liquipedia.net/halo/Halo_Championship_Series/Pro_League/2016/North_America/Summer/Regular_Season,2016-06-02,2016-07-15,TRUE,75000,North America,"Online, North America",8,Counter Logic Gaming,Enigma6 Group,CLG,E6,FALSE,FALSE,2021-12-30T14:52:33Z
A,2016,HCS Pro League EU 2016 Summer: Regular Season,Halo 5: Guardians,https://liquipedia.net/halo/Halo_Championship_Series/Pro_League/2016/Europe/Summer/Regular_Season,2016-06-02,2016-07-01,TRUE,33000,Europe,"Online, Europe",6,U4X Esports,Team Infused,U4X,INF,FALSE,FALSE,2021-12-30T14:52:33Z
A,2016,Halo World Championship 2016 - North America,Halo 5: Guardians,https://liquipedia.net/halo/Halo_World_Championship/2016/North_America,2016-02-19,2016-02-21,TRUE,50000,United States,"Columbus, United States",16,Counter Logic Gaming,Denial eSports,CLG,DNL,FALSE,FALSE,2021-12-30T14:52:33Z
A,2016,Halo World Championship 2016 - Latin America,Halo 5: Guardians,https://liquipedia.net/halo/Halo_World_Championship/2016/Latin_America,2016-02-13,2016-02-14,TRUE,30000,Mexico,"Mexico City, Mexico",8,Chosen Squad,Chosen Legacy,CS,cL,FALSE,TRUE,2021-12-30T14:52:33Z
A,2016,Halo World Championship 2016 - EMEA,Halo 5: Guardians,https://liquipedia.net/halo/Halo_World_Championship/2016/EMEA,2016-02-06,2016-02-07,TRUE,50000,Germany,"Cologne, Germany",16,Team Infused,ExceL eSports,INF,xL,FALSE,FALSE,2021-12-30T14:52:33Z
A,2016,Halo World Championship 2016 - Oceania,Halo 5: Guardians,https://liquipedia.net/halo/Halo_World_Championship/2016/Oceania,2016-02-06,2016-02-07,TRUE,15000,Australia,"Sydney, Australia",6,Team Immunity,Team Exile5,iM,x5,FALSE,FALSE,2021-12-30T14:52:33Z
A,2016,X Games Aspen 2016,Halo 5: Guardians,https://liquipedia.net/halo/X_Games/Aspen/2016,2016-01-28,2016-01-31,TRUE,30000,United States,"Aspen, United States",8,Evil Geniuses,Counter Logic Gaming,EG,CLG,FALSE,FALSE,2021-12-30T14:52:33Z
A,2016,Halo World Championship 2016 - Asia,Halo 5: Guardians,https://liquipedia.net/halo/Halo_World_Championship/2016/Asia,2016-01-31,2016-01-31,FALSE,10000,Hong Kong,"Offline, Hong Kong",16,Aftermath,Equinox,AF,Equinox,TRUE,TRUE,2021-12-30T14:52:33Z
