team,team_url,n_series,n_matches,n_tournaments,n_tournaments_w_series,update_time
Viperio,,3,,2,1,2021-12-31T13:07:11Z
Vital,,,,2,,2021-12-31T13:07:11Z
WarZ,,5,5,2,2,2021-12-31T13:07:11Z
Water Art,,3,,2,2,2021-12-31T13:07:11Z
XiT WoundZ,,,,2,,2021-12-31T13:07:11Z
YES!!!,,,,2,,2021-12-31T13:07:11Z
⁠⁠Ordo Equitum,,,,1,,2021-12-31T13:07:11Z
⁠⁠PDT,,,,1,,2021-12-31T13:07:11Z
⁠⁠Perfect Dynamic,,,,1,,2021-12-31T13:07:11Z
⁠⁠Quasar,,,,1,,2021-12-31T13:07:11Z
⁠⁠Sudden Death,,,,1,,2021-12-31T13:07:11Z
⁠⁠VwS Gaming,,,,1,,2021-12-31T13:07:11Z
⁠Catch My Drift,,,,1,,2021-12-31T13:07:11Z
⁠NG Owl City,,,,1,,2021-12-31T13:07:11Z
⁠Reality Check,,,,1,,2021-12-31T13:07:11Z
⁠Team Chaotic,,,,1,,2021-12-31T13:07:11Z
⁠Uprising eSports,,,,1,,2021-12-31T13:07:11Z
1620 Kings,,6,,1,1,2021-12-31T13:07:11Z
2 Washed duos,,,,1,,2021-12-31T13:07:11Z
2700mbps,,5,12,1,1,2021-12-31T13:07:11Z
28 Baked SP,,,,1,,2021-12-31T13:07:11Z
4 Idiots,,1,,1,1,2021-12-31T13:07:11Z
4G,,2,,1,1,2021-12-31T13:07:11Z
4G Hotspot,,2,4,1,1,2021-12-31T13:07:11Z
4N,,1,,1,1,2021-12-31T13:07:11Z
50 & Slim,,,,1,,2021-12-31T13:07:11Z
5K team,,6,,1,1,2021-12-31T13:07:11Z
6S Gaming,,5,,1,1,2021-12-31T13:07:11Z
7LGF,,,,1,,2021-12-31T13:07:11Z
7LRS,,,,1,,2021-12-31T13:07:11Z
7thSin,,3,3,1,1,2021-12-31T13:07:11Z
A4D,,,,1,,2021-12-31T13:07:11Z
AbaGoats,,,,1,,2021-12-31T13:07:11Z
ABC,,3,,1,1,2021-12-31T13:07:11Z
Ability,,3,,1,1,2021-12-31T13:07:11Z
Abrasive,,2,2,1,2,2021-12-31T13:07:11Z
Ace & Tylenul,,1,,1,1,2021-12-31T13:07:11Z
Acend,https://liquipedia.net/halo/Acend,4,13,1,1,2021-12-31T13:07:11Z
Adversity,,,,1,,2021-12-31T13:07:11Z
Afterlife,,4,,1,1,2021-12-31T13:07:11Z
AfterLife Gaming,,1,3,1,1,2021-12-31T13:07:11Z
afterMath Esports,,,,1,,2021-12-31T13:07:11Z
AGENT Paragon,,1,3,1,1,2021-12-31T13:07:11Z
Agony Realm,,1,2,1,1,2021-12-31T13:07:11Z
Aim diff,,3,6,1,1,2021-12-31T13:07:11Z
Akave Esports,,3,7,1,1,2021-12-31T13:07:11Z
Alex & Silk,,,,1,,2021-12-31T13:07:11Z
Alky,,1,,1,1,2021-12-31T13:07:11Z
ALL 4 ONE,,1,,1,1,2021-12-31T13:07:11Z
All Stars,,1,,1,1,2021-12-31T13:07:11Z
Always Elevating,,4,,1,2,2021-12-31T13:07:11Z
Ambition,,,,1,,2021-12-31T13:07:11Z
Anaheim Pirates,,5,,1,1,2021-12-31T13:07:11Z
Anarchy,,1,,1,1,2021-12-31T13:07:11Z
Antimatter,,1,,1,1,2021-12-31T13:07:11Z
Ape Sudata,,2,4,1,1,2021-12-31T13:07:11Z
Apes,,2,,1,1,2021-12-31T13:07:11Z
APEX GAMING,,1,,1,1,2021-12-31T13:07:11Z
APEX PLAYERS,,2,4,1,1,2021-12-31T13:07:11Z
apeX.Revolution,,2,,1,1,2021-12-31T13:07:11Z
APMH Esports,,2,,1,1,2021-12-31T13:07:11Z
APS,,,,1,,2021-12-31T13:07:11Z
Aqua Fuego,,6,2,1,2,2021-12-31T13:07:11Z
Arcane,,1,,1,1,2021-12-31T13:07:11Z
Archetype,,4,,1,1,2021-12-31T13:07:11Z
Aristogods,,1,,1,1,2021-12-31T13:07:11Z
Armor of God,,,,1,,2021-12-31T13:07:11Z
Arnold's Pizza Shop,,,,1,,2021-12-31T13:07:11Z
Arteficial Inte,,,,1,,2021-12-31T13:07:11Z
Artificial Intelligence,,5,,1,1,2021-12-31T13:07:11Z
Aspire,,1,,1,1,2021-12-31T13:07:11Z
Astra Piggy,,,,1,,2021-12-31T13:07:11Z
Astral Authority,,,,1,,2021-12-31T13:07:11Z
ASU Gold,,6,13,1,1,2021-12-31T13:07:11Z
ASU Maroon,,9,21,1,1,2021-12-31T13:07:11Z
Atlantic,,,,1,,2021-12-31T13:07:11Z
Austrian Force,,,,1,,2021-12-31T13:07:11Z
Avada Kedavra,,,,1,,2021-12-31T13:07:11Z
Average,,,,1,,2021-12-31T13:07:11Z
Aware Gaming,,1,,1,1,2021-12-31T13:07:11Z
B7,,5,10,1,1,2021-12-31T13:07:11Z
Bababooey,,,,1,,2021-12-31T13:07:11Z
Back to Classic,,4,,1,1,2021-12-31T13:07:11Z
BackStage,,4,8,1,2,2021-12-31T13:07:11Z
Bad Manners,,5,,1,1,2021-12-31T13:07:11Z
Baltimore Blowfish,,,,1,,2021-12-31T13:07:11Z
Barbie and Friends,,2,,1,1,2021-12-31T13:07:11Z
Barbie Boys,,3,,1,1,2021-12-31T13:07:11Z
BCKS,,4,6,1,2,2021-12-31T13:07:11Z
Beamer Boys,,4,,1,1,2021-12-31T13:07:11Z
Beamers,,2,,1,1,2021-12-31T13:07:11Z
BEAT THE DEVIL OUT OF IT,,1,,1,1,2021-12-31T13:07:11Z
beGenius ESC,,,,1,,2021-12-31T13:07:11Z
Behemoth,,4,,1,1,2021-12-31T13:07:11Z
Bens Coffee LADS,,2,,1,1,2021-12-31T13:07:11Z
BerriesAndCream,,2,4,1,1,2021-12-31T13:07:11Z
Berserk,,1,2,1,1,2021-12-31T13:07:11Z
Berzerkers Gaming,,2,,1,1,2021-12-31T13:07:11Z
Better Than Chosen Legacy,,1,,1,1,2021-12-31T13:07:11Z
Beyond prime,,1,,1,1,2021-12-31T13:07:11Z
BH3 neXuS,,,,1,,2021-12-31T13:07:11Z
billybonkers445,,,,1,,2021-12-31T13:07:11Z
Bing chillin,,3,,1,1,2021-12-31T13:07:11Z
Bing Chilling,,2,3,1,1,2021-12-31T13:07:11Z
Bittersweet,,,,1,,2021-12-31T13:07:11Z
Black Lotus,,,,1,,2021-12-31T13:07:11Z
Blanks,,5,,1,1,2021-12-31T13:07:11Z
BlastThunder,,,,1,,2021-12-31T13:07:11Z
Blumpkin,,,,1,,2021-12-31T13:07:11Z
Boats N Fo's,,3,,1,1,2021-12-31T13:07:11Z
Boise State,,6,,1,1,2021-12-31T13:07:11Z
Bound & bubu dubu,,2,,1,1,2021-12-31T13:07:11Z
Brigade,,,,1,,2021-12-31T13:07:11Z
Bring the Noise,,,,1,,2021-12-31T13:07:11Z
Brownies,,4,,1,1,2021-12-31T13:07:11Z
BRP,,2,,1,1,2021-12-31T13:07:11Z
BSC Bobcats VA,,5,,1,1,2021-12-31T13:07:11Z
BSOK,,2,4,1,1,2021-12-31T13:07:11Z
BTB Goons,,1,,1,1,2021-12-31T13:07:11Z
bubu dubu/Sceptify,,2,,1,1,2021-12-31T13:07:11Z
Buck Wild,,3,,1,1,2021-12-31T13:07:11Z
BXB,,5,,1,1,2021-12-31T13:07:11Z
Bye Bye noobs,,,,1,,2021-12-31T13:07:11Z
Carnage Gaming Black,,1,,1,1,2021-12-31T13:07:11Z
Carrying Swift,,3,7,1,1,2021-12-31T13:07:11Z
Cat Smile Gaming,,1,,1,1,2021-12-31T13:07:11Z
CAZ eSports,,1,2,1,1,2021-12-31T13:07:11Z
Celestial,,7,16,1,1,2021-12-31T13:07:11Z
Chaotic Neutral,,1,,1,1,2021-12-31T13:07:11Z
Chasin and Pacin,,,,1,,2021-12-31T13:07:11Z
Chicken Tendies,,5,19,1,1,2021-12-31T13:07:11Z
Chiefs ESC,https://liquipedia.net/halo/Chiefs_Esports_Club,3,6,1,1,2021-12-31T13:07:11Z
Chilled Reality,,3,,1,1,2021-12-31T13:07:11Z
Chinese Lawyer,,1,,1,1,2021-12-31T13:07:11Z
Cilantro,,1,,1,1,2021-12-31T13:07:11Z
CintaNegra,,,,1,,2021-12-31T13:07:11Z
CintaNegra K9,,2,4,1,1,2021-12-31T13:07:11Z
CintaNegra MM,,2,4,1,2,2021-12-31T13:07:11Z
CintaNegraX,,2,,1,1,2021-12-31T13:07:11Z
Cintenegra,,,,1,,2021-12-31T13:07:11Z
City Boys,,,,1,,2021-12-31T13:07:11Z
CK x TGC,,2,,1,1,2021-12-31T13:07:11Z
Clarity,,4,,1,1,2021-12-31T13:07:11Z
Clown Fiesta,,4,,1,1,2021-12-31T13:07:11Z
Coconuts,,,,1,,2021-12-31T13:07:11Z
COD ESPORTS LUL,,2,4,1,1,2021-12-31T13:07:11Z
Cod kids,,2,,1,1,2021-12-31T13:07:11Z
Cod Memes,,2,4,1,1,2021-12-31T13:07:11Z
Colombian Legend,,,,1,,2021-12-31T13:07:11Z
Colombian Legends,,5,6,1,2,2021-12-31T13:07:11Z
Comrades,,5,,1,1,2021-12-31T13:07:11Z
Console Gamers,,5,4,1,1,2021-12-31T13:07:11Z
Copyrighted,,,,1,,2021-12-31T13:07:11Z
CPH,,,,1,,2021-12-31T13:07:11Z
CPR Esports,,1,,1,1,2021-12-31T13:07:11Z
Cratos & Suspector,,1,,1,1,2021-12-31T13:07:11Z
Crowd Control,,3,,1,1,2021-12-31T13:07:11Z
Crusade,,3,,1,1,2021-12-31T13:07:11Z
CuteHamsters,,3,7,1,1,2021-12-31T13:07:11Z
Cwell Fellas,,,,1,,2021-12-31T13:07:11Z
Cyber Bullies,,3,,1,1,2021-12-31T13:07:11Z
CyberBullies,,1,,1,1,2021-12-31T13:07:11Z
Da Drought 3,,2,,1,1,2021-12-31T13:07:11Z
Daddy and the Daycare,,1,,1,1,2021-12-31T13:07:11Z
Danford/Moose,,3,,1,1,2021-12-31T13:07:11Z
Dark Souls 4,,1,,1,1,2021-12-31T13:07:11Z
Daytona,,6,,1,1,2021-12-31T13:07:11Z
Deathruptor Fans,,,,1,,2021-12-31T13:07:11Z
Default,,,,1,,2021-12-31T13:07:11Z
Definitely Amazing,,1,,1,1,2021-12-31T13:07:11Z
DegDeg.n00bs,,1,,1,1,2021-12-31T13:07:11Z
Demolition Boys,,2,2,1,2,2021-12-31T13:07:11Z
DEMOLITION BOYS,,,,1,,2021-12-31T13:07:11Z
Demon Status,,3,7,1,1,2021-12-31T13:07:11Z
DEMON5,,3,3,1,1,2021-12-31T13:07:11Z
Demonica Esports,,1,,1,1,2021-12-31T13:07:11Z
Demons,,3,6,1,1,2021-12-31T13:07:11Z
Descend,,5,,1,1,2021-12-31T13:07:11Z
Desire,,2,,1,1,2021-12-31T13:07:11Z
DeSiTic Gaming,,2,,1,1,2021-12-31T13:07:11Z
Detach Sucks,,,,1,,2021-12-31T13:07:11Z
Dethruptor fans,,14,23,1,3,2021-12-31T13:07:11Z
Dethruptor Fans,,,,1,,2021-12-31T13:07:11Z
Devils Army,,3,,1,1,2021-12-31T13:07:11Z
Devise Gaming,,1,,1,1,2021-12-31T13:07:11Z
Dioses Gow,,1,,1,1,2021-12-31T13:07:11Z
Dipjuice,,,,1,,2021-12-31T13:07:11Z
DL DL,,1,,1,1,2021-12-31T13:07:11Z
DM,,3,9,1,1,2021-12-31T13:07:11Z
Do It,,,,1,,2021-12-31T13:07:11Z
DOA,,1,,1,1,2021-12-31T13:07:11Z
Dominant Talent,,,,1,,2021-12-31T13:07:11Z
dominatioN,,3,7,1,1,2021-12-31T13:07:11Z
Dont Chase Me Bro,,1,,1,1,2021-12-31T13:07:11Z
Dragon Kings,,1,,1,1,2021-12-31T13:07:11Z
Drapeau Noir,,1,,1,1,2021-12-31T13:07:11Z
Driven,,3,,1,1,2021-12-31T13:07:11Z
Dropped from Every Team,,1,,1,1,2021-12-31T13:07:11Z
Druk & SoulSnipe,,1,,1,1,2021-12-31T13:07:11Z
Dug's Buddies 2,,,,1,,2021-12-31T13:07:11Z
Dzs e.V.,,2,6,1,1,2021-12-31T13:07:11Z
EBeasty Gaming,,1,,1,1,2021-12-31T13:07:11Z
EcNs Job Flex,,3,6,1,1,2021-12-31T13:07:11Z
Eco & Mikwen,,4,,1,1,2021-12-31T13:07:11Z
Ego Rangers,,2,,1,1,2021-12-31T13:07:11Z
El equipo cool,,2,4,1,1,2021-12-31T13:07:11Z
Element 6 Gaming,,2,,1,1,2021-12-31T13:07:11Z
Enchiladas,,5,12,1,1,2021-12-31T13:07:11Z
End Result,,,,1,,2021-12-31T13:07:11Z
Entropy,,,,1,,2021-12-31T13:07:11Z
EpZhuhLon,,,,1,,2021-12-31T13:07:11Z
Equinox,,4,,1,1,2021-12-31T13:07:11Z
Eradication,,2,,1,1,2021-12-31T13:07:11Z
Eraiize Gaming,,1,,1,1,2021-12-31T13:07:11Z
Eternal,,3,,1,1,2021-12-31T13:07:11Z
Eternity,,4,9,1,1,2021-12-31T13:07:11Z
Event Horizon,,3,6,1,1,2021-12-31T13:07:11Z
Evil,,2,,1,1,2021-12-31T13:07:11Z
Evil Dynasty,,2,,1,1,2021-12-31T13:07:11Z
Evolution,,4,8,1,2,2021-12-31T13:07:11Z
eVolved eSport,,3,,1,1,2021-12-31T13:07:11Z
eVvade,,,,1,,2021-12-31T13:07:11Z
EWC,,,,1,,2021-12-31T13:07:11Z
exceL eSports,https://liquipedia.net/halo/ExceL_eSports,17,22,1,6,2021-12-31T13:07:11Z
eXcellence Black,,1,,1,1,2021-12-31T13:07:11Z
Exertus Esports,,4,9,1,1,2021-12-31T13:07:11Z
Exigent,,,,1,,2021-12-31T13:07:11Z
ExiLed Gaming,,,,1,,2021-12-31T13:07:11Z
EXO esports,,,,1,,2021-12-31T13:07:11Z
EXO Esports,,,,1,,2021-12-31T13:07:11Z
Extincion 2,,2,,1,1,2021-12-31T13:07:11Z
Ez W,,4,,1,1,2021-12-31T13:07:11Z
F Gintron 2,,,,1,,2021-12-31T13:07:11Z
Falling Stars,,1,,1,1,2021-12-31T13:07:11Z
FaZe AkAdEmY,,,,1,,2021-12-31T13:07:11Z
FaZe Clan,https://liquipedia.net/halo/FaZe_Clan,7,29,1,1,2021-12-31T13:07:11Z
FBGM,,2,,1,1,2021-12-31T13:07:11Z
FBI Michigan,,3,,1,1,2021-12-31T13:07:11Z
FBI Nice Like Rice,,4,,1,1,2021-12-31T13:07:11Z
FC Lahti Menace,,1,4,1,1,2021-12-31T13:07:11Z
Fellowship,,3,,1,1,2021-12-31T13:07:11Z
FEMv Esports,,1,,1,1,2021-12-31T13:07:11Z
Fetos LATAM,,4,,1,1,2021-12-31T13:07:11Z
Fiddy & Methodz,,,,1,,2021-12-31T13:07:11Z
Filthy Jackalopes,,,,1,,2021-12-31T13:07:11Z
Fing Blipped,,,,1,,2021-12-31T13:07:11Z
FireStorm,,2,,1,1,2021-12-31T13:07:11Z
First Blood,,1,,1,1,2021-12-31T13:07:11Z
Flair,,3,,1,1,2021-12-31T13:07:11Z
Flamesword & Perzecute,,1,,1,1,2021-12-31T13:07:11Z
Florida Jackalopes,,,,1,,2021-12-31T13:07:11Z
Florida State Garnet,,4,,1,1,2021-12-31T13:07:11Z
Forge Halo,,4,,1,1,2021-12-31T13:07:11Z
Formosa,,1,,1,1,2021-12-31T13:07:11Z
Fossils,,3,6,1,1,2021-12-31T13:07:11Z
Fragment eSports,,5,,1,1,2021-12-31T13:07:11Z
Free Agency,,,,1,,2021-12-31T13:07:11Z
Frenched,,3,,1,1,2021-12-31T13:07:11Z
FrenchPlusOne,,1,,1,1,2021-12-31T13:07:11Z
Frenemies,,1,,1,1,2021-12-31T13:07:11Z
Frosty & Renegade,,1,,1,1,2021-12-31T13:07:11Z
Full Quid,,,,1,,2021-12-31T13:07:11Z
Fung Four AG,,1,,1,1,2021-12-31T13:07:11Z
Funkboings,,1,2,1,1,2021-12-31T13:07:11Z
Fxbg 8ighty 2wenty,,4,,1,1,2021-12-31T13:07:11Z
Fynd Gaming,,,,1,,2021-12-31T13:07:11Z
Fyra Gaming,,3,,1,1,2021-12-31T13:07:11Z
G Town,,1,2,1,1,2021-12-31T13:07:11Z
G4C Hydra,,2,,1,1,2021-12-31T13:07:11Z
Gaia,,3,7,1,1,2021-12-31T13:07:11Z
GambitEU,,7,16,1,1,2021-12-31T13:07:11Z
Game City,,,,1,,2021-12-31T13:07:11Z
Game City White,,1,,1,1,2021-12-31T13:07:11Z
Game Knights,,,,1,,2021-12-31T13:07:11Z
Gamers,,2,5,1,1,2021-12-31T13:07:11Z
GamersGaming,,3,6,1,2,2021-12-31T13:07:11Z
Garda,,2,4,1,1,2021-12-31T13:07:11Z
GCU Black,,6,,1,1,2021-12-31T13:07:11Z
GCU Purple,,6,3,1,1,2021-12-31T13:07:11Z
GDT,,3,,1,1,2021-12-31T13:07:11Z
Gears of Halo,,3,,1,1,2021-12-31T13:07:11Z
GearsHaloTeam,,4,8,1,1,2021-12-31T13:07:11Z
Geezers,,2,,1,1,2021-12-31T13:07:11Z
Georgia,,3,2,1,1,2021-12-31T13:07:11Z
Get Bronco,,1,,1,1,2021-12-31T13:07:11Z
Get Gud,,2,4,1,1,2021-12-31T13:07:11Z
Get on the Bus,,3,7,1,1,2021-12-31T13:07:11Z
GG Team,,,,1,,2021-12-31T13:07:11Z
Gideon,,3,,1,1,2021-12-31T13:07:11Z
Gilkey & Artic,,1,,1,1,2021-12-31T13:07:11Z
Global Sanction,,2,6,1,1,2021-12-31T13:07:11Z
Goats R Us,,2,,1,1,2021-12-31T13:07:11Z
GoGamers,,1,,1,1,2021-12-31T13:07:11Z
Goldmembers,,6,,1,1,2021-12-31T13:07:11Z
Good Game 2,,,,1,,2021-12-31T13:07:11Z
Good Vibes Only,,1,,1,1,2021-12-31T13:07:11Z
gotlil bitdrunk,,2,4,1,1,2021-12-31T13:07:11Z
Grand Delusion,,1,,1,1,2021-12-31T13:07:11Z
Gravity,,2,,1,1,2021-12-31T13:07:11Z
GRTS Esports,,3,,1,1,2021-12-31T13:07:11Z
Grudge Gaming,,1,,1,1,2021-12-31T13:07:11Z
Gty,,3,,1,1,2021-12-31T13:07:11Z
Guardians Gaming,,,,1,,2021-12-31T13:07:11Z
Guilty,,1,,1,1,2021-12-31T13:07:11Z
GuuDR,,3,,1,1,2021-12-31T13:07:11Z
H1RoX,,4,5,1,1,2021-12-31T13:07:11Z
H2C,,2,,1,1,2021-12-31T13:07:11Z
H2O,,,,1,,2021-12-31T13:07:11Z
H5KIDS,,5,12,1,1,2021-12-31T13:07:11Z
H6 Hurry,,4,14,1,1,2021-12-31T13:07:11Z
HaC NZ,,3,3,1,1,2021-12-31T13:07:11Z
Hair Paints,,3,,1,1,2021-12-31T13:07:11Z
Halo 2 Kings,,,,1,,2021-12-31T13:07:11Z
Halo Challenger,,,,1,,2021-12-31T13:07:11Z
Halo Esports Team,,,,1,,2021-12-31T13:07:11Z
Halo Predators,,4,8,1,1,2021-12-31T13:07:11Z
Halo Team Oct 24,,5,,1,1,2021-12-31T13:07:11Z
Halo1Style,,3,6,1,1,2021-12-31T13:07:11Z
Harmonic Convergence,,6,,1,1,2021-12-31T13:07:11Z
Havoc,,5,,1,1,2021-12-31T13:07:11Z
HAYVANS,,4,10,1,1,2021-12-31T13:07:11Z
Heart Of The Cards,,,,1,,2021-12-31T13:07:11Z
Heavenly Hell,,,,1,,2021-12-31T13:07:11Z
HEM Gaming,,6,15,1,2,2021-12-31T13:07:11Z
Hi5 Esports,,2,,1,1,2021-12-31T13:07:11Z
High Society,,2,5,1,2,2021-12-31T13:07:11Z
highgroundteam,,5,11,1,1,2021-12-31T13:07:11Z
Hit Seiren,,1,,1,1,2021-12-31T13:07:11Z
Hitmen,,3,,1,1,2021-12-31T13:07:11Z
HoldDeez,,3,6,1,1,2021-12-31T13:07:11Z
How Many Prelans?,,,,1,,2021-12-31T13:07:11Z
HRNY Clan,,,,1,,2021-12-31T13:07:11Z
HSP,,1,,1,1,2021-12-31T13:07:11Z
HYGHFOTC,,,,1,,2021-12-31T13:07:11Z
Hyperboom Esports,,,,1,,2021-12-31T13:07:11Z
Hyperion,,3,,1,1,2021-12-31T13:07:11Z
Hyperion Gaming,,2,4,1,1,2021-12-31T13:07:11Z
I'm Playing Like,,,,1,,2021-12-31T13:07:11Z
I Like Upsets,,2,,1,1,2021-12-31T13:07:11Z
I’m going bald,,,,1,,2021-12-31T13:07:11Z
iBrettowski Fan Club,,1,,1,1,2021-12-31T13:07:11Z
iCHOR ADD,,4,5,1,1,2021-12-31T13:07:11Z
Idolize,,8,18,1,1,2021-12-31T13:07:11Z
IG SIMPS,,6,12,1,1,2021-12-31T13:07:11Z
iGamespot,,,,1,,2021-12-31T13:07:11Z
iGS Monglers,,,,1,,2021-12-31T13:07:11Z
Illinois Wesleyan,,4,,1,1,2021-12-31T13:07:11Z
Im Anooyed,,,,1,,2021-12-31T13:07:11Z
Immunity eSports,,1,,1,1,2021-12-31T13:07:11Z
Impera eSport,,1,,1,1,2021-12-31T13:07:11Z
Imperial,,,,1,,2021-12-31T13:07:11Z
Imperial eSports,,,,1,,2021-12-31T13:07:11Z
Improv,,2,,1,1,2021-12-31T13:07:11Z
Improvised,,1,,1,1,2021-12-31T13:07:11Z
Improvity,,4,,1,2,2021-12-31T13:07:11Z
Improvity Focobois,,1,,1,1,2021-12-31T13:07:11Z
Improvity G,,2,,1,1,2021-12-31T13:07:11Z
Improvity Glory,,1,,1,1,2021-12-31T13:07:11Z
Improvity ISZ,,3,7,1,2,2021-12-31T13:07:11Z
Improvity Sadboys,,1,,1,1,2021-12-31T13:07:11Z
Incendiary,,2,,1,1,2021-12-31T13:07:11Z
Incept,,1,,1,1,2021-12-31T13:07:11Z
Incognito,,2,,1,1,2021-12-31T13:07:11Z
Incrediboys,,3,,1,1,2021-12-31T13:07:11Z
Infamous Esports,,4,13,1,1,2021-12-31T13:07:11Z
Infernal,,7,16,1,1,2021-12-31T13:07:11Z
Infine Demeter,,2,,1,1,2021-12-31T13:07:11Z
Infine Rhino,,2,,1,1,2021-12-31T13:07:11Z
Infinite Breadsticks,,1,,1,1,2021-12-31T13:07:11Z
Infinitely Better,,1,,1,1,2021-12-31T13:07:11Z
Infinites,,4,8,1,1,2021-12-31T13:07:11Z
Infinity Sky,,1,,1,1,2021-12-31T13:07:11Z
Iniquity Esport,,,,1,,2021-12-31T13:07:11Z
Iniquity eSports,,3,8,1,2,2021-12-31T13:07:11Z
Initial Concept,,2,,1,1,2021-12-31T13:07:11Z
Insane BR,,1,,1,1,2021-12-31T13:07:11Z
Intensive Fire,,1,,1,1,2021-12-31T13:07:11Z
Interference,,3,,1,1,2021-12-31T13:07:11Z
Invincible,,1,,1,1,2021-12-31T13:07:11Z
Ion,,,,1,,2021-12-31T13:07:11Z
Ironide Gaming,,3,6,1,1,2021-12-31T13:07:11Z
iSolation Essence,,2,,1,1,2021-12-31T13:07:11Z
It Dont Be Mattering,,1,,1,1,2021-12-31T13:07:11Z
italianforce,,3,6,1,1,2021-12-31T13:07:11Z
Jacko,,,,1,,2021-12-31T13:07:11Z
Jamestown Jimmies,,4,,1,1,2021-12-31T13:07:11Z
JH,,2,,1,1,2021-12-31T13:07:11Z
JoeRogansChimpanzees,,1,,1,1,2021-12-31T13:07:11Z
Jones BBQ and Foot Massage,,5,,1,2,2021-12-31T13:07:11Z
JSF,,1,,1,1,2021-12-31T13:07:11Z
Juice Boys,,3,,1,1,2021-12-31T13:07:11Z
Juiced,,4,,1,1,2021-12-31T13:07:11Z
Jump out gang,,6,11,1,2,2021-12-31T13:07:11Z
Jump Out Gang,,,,1,,2021-12-31T13:07:11Z
Just Milk,,1,,1,1,2021-12-31T13:07:11Z
JustLatam,,2,,1,1,2021-12-31T13:07:11Z
Kairos,,4,11,1,1,2021-12-31T13:07:11Z
Kambush,,4,,1,1,2021-12-31T13:07:11Z
Karnage,,,,1,,2021-12-31T13:07:11Z
KBM,,6,13,1,1,2021-12-31T13:07:11Z
KD-Gaming,,,,1,,2021-12-31T13:07:11Z
KimboINF,,2,,1,1,2021-12-31T13:07:11Z
King of the South,,2,,1,1,2021-12-31T13:07:11Z
Knights Of Shadows,,2,,1,1,2021-12-31T13:07:11Z
Koala Ownage,,,,1,,2021-12-31T13:07:11Z
KSI Pro,,2,,1,1,2021-12-31T13:07:11Z
La 501,,3,6,1,1,2021-12-31T13:07:11Z
Lacrosste e-Gaming,,1,,1,1,2021-12-31T13:07:11Z
Laser Focused,,1,,1,1,2021-12-31T13:07:11Z
Last Hope,,6,13,1,1,2021-12-31T13:07:11Z
Last Minute,,2,4,1,1,2021-12-31T13:07:11Z
Last Supper,,2,,1,1,2021-12-31T13:07:11Z
Late Bloomers,,3,,1,1,2021-12-31T13:07:11Z
Leftovers,,1,,1,1,2021-12-31T13:07:11Z
Legends,,,,1,,2021-12-31T13:07:11Z
Legion Raccoon 2.0,,2,,1,1,2021-12-31T13:07:11Z
Lets Get This Money,,1,,1,1,2021-12-31T13:07:11Z
Liams gunny,,2,4,1,1,2021-12-31T13:07:11Z
LiNK,,,,1,,2021-12-31T13:07:11Z
LiNK Gaming,,,,1,,2021-12-31T13:07:11Z
Liquid Inception,,1,,1,1,2021-12-31T13:07:11Z
Liquid Vibe,,2,,1,1,2021-12-31T13:07:11Z
Litium,,1,,1,1,2021-12-31T13:07:11Z
Loot 6,,1,,1,1,2021-12-31T13:07:11Z
Los Ángeles de Ángel,,1,,1,1,2021-12-31T13:07:11Z
Los Coyotes,,4,,1,1,2021-12-31T13:07:11Z
Los Maris,,,,1,,2021-12-31T13:07:11Z
LSB,,,,1,,2021-12-31T13:07:11Z
LTN,,1,,1,1,2021-12-31T13:07:11Z
Lucendi Gaming,,3,,1,1,2021-12-31T13:07:11Z
Lucid,,1,,1,1,2021-12-31T13:07:11Z
Lucid Gaming,,1,,1,1,2021-12-31T13:07:11Z
Lucky & Sin,,,,1,,2021-12-31T13:07:11Z
Lunar Gaming,,2,,1,1,2021-12-31T13:07:11Z
Mad Skills,,1,,1,1,2021-12-31T13:07:11Z
Magic Five,,5,12,1,1,2021-12-31T13:07:11Z
MagsUp,,1,,1,1,2021-12-31T13:07:11Z
Make The Switz,,,,1,,2021-12-31T13:07:11Z
Manhattan Project,,,,1,,2021-12-31T13:07:11Z
Mark Josey's Beard,,2,,1,1,2021-12-31T13:07:11Z
Mason City Minotaurs,,1,,1,1,2021-12-31T13:07:11Z
Mastas of Disastas,,,,1,,2021-12-31T13:07:11Z
Master Baiters,,1,,1,1,2021-12-31T13:07:11Z
Maximum Pwnz0rz,,,,1,,2021-12-31T13:07:11Z
McCree plus 3,,,,1,,2021-12-31T13:07:11Z
McCree Plus 3,,3,6,1,2,2021-12-31T13:07:11Z
MDK Berserkers,,2,,1,1,2021-12-31T13:07:11Z
Meet Me Bottom Mid,,1,,1,1,2021-12-31T13:07:11Z
Mentality Esports,https://liquipedia.net/halo/Mentality_Esports,3,,1,1,2021-12-31T13:07:11Z
Mercy,,3,,1,1,2021-12-31T13:07:11Z
Merry Berry,,,,1,,2021-12-31T13:07:11Z
MexX,,1,,1,1,2021-12-31T13:07:11Z
Miami University,,7,4,1,2,2021-12-31T13:07:11Z
Michigan B,,,,1,,2021-12-31T13:07:11Z
Mighty Ducks,,2,,1,1,2021-12-31T13:07:11Z
MKB,,4,,1,1,2021-12-31T13:07:11Z
MLG Rockford,,,,1,,2021-12-31T13:07:11Z
MoB BigChili.com,,,,1,,2021-12-31T13:07:11Z
MoB GamerGraffix,,5,,1,1,2021-12-31T13:07:11Z
MobTreatment,,2,,1,1,2021-12-31T13:07:11Z
